,lon,lat,x,y
0,119,-4,-4.843103771693366,9.686207543386702
1,119,-3,-8.136825170382114,7.232733484784075
2,120,-6,4.460814405116877,9.66509787775321
3,120,-5,0.8208701642767362,10.671312135597539
4,120,-4,-3.164768624742563,10.285498030413308
5,120,-3,-6.159112658573532,8.89649606238397
6,120,-2,-7.972840268115943,7.403351677536217
7,120,0,-4.280361867231074,16.943099057789667
8,120,1,-2.563055085423991,17.392159508234222
9,121,-7,5.482572932958757,8.971482981205224
10,121,-6,3.34358385650496,10.030751569514862
11,121,-5,0.5898225345991068,10.616805622783895
12,121,-4,-2.319763838349849,10.438937272574307
13,121,-3,-4.8095769450372,9.619153890074386
14,121,-2,-12.49309612824209,12.704843520246191
15,121,-1,-13.519753298941874,11.756307216471194
16,121,0,-4.7099245171942306,16.6809826650629
17,121,1,-2.834494139436741,17.20942870372307
18,122,-7,4.50487266370996,9.419279205938995
19,122,-6,2.6509838167584197,10.16210463090726
20,122,-5,0.4588656213091345,10.553909290110072
21,122,-4,-1.8206961594385647,10.469002916771736
22,122,-3,-10.104529033655002,14.435041476650003
23,122,-2,-11.420303130869117,13.549512189166748
24,122,-1,-12.510636467160888,12.691950039148727
25,122,0,-5.239731417178572,16.374160678683037
26,122,1,-3.175190937278575,17.009951449706655
27,123,-5,0.3745813316719357,10.488277286814181
28,123,-3,-9.150813916211908,14.940104352999034
29,123,-2,-10.459933741069317,14.182961004839754
30,123,-1,-11.577839088852038,13.423581552292216
31,123,0,-5.906451494724225,15.996639464878106
32,123,1,-4.8414692960567125,21.181428170248118
33,124,-7,-3.50612993936697,13.894663093046887
34,124,-6,-4.710763879834936,13.623019868711847
35,124,-5,-5.831210757382269,13.275309596593681
36,124,-4,-6.8574264291610785,12.87271277053045
37,124,-3,-7.7864545506127385,12.435084133068111
38,124,-1,-10.728202429804679,13.993307517136538
39,124,0,-12.517593982772901,17.385547198295694
40,124,1,-6.574993256104435,20.546853925326356
41,124,2,1.7324472298429452,21.65559037303682
42,125,-7,-3.202231162778594,13.876335038707248
43,125,-6,-4.320081021030956,13.660796742178974
44,125,-5,-5.373279452514656,13.376036083919468
45,125,-4,-6.351866064383877,13.03804086899849
46,125,-3,-7.251183126265998,12.662513817509284
47,125,0,-16.336789128244327,13.613990940203603
48,125,1,-10.080128569847933,18.900241068464872
49,125,2,2.8515941734480754,21.386956300860568
50,126,-7,-2.9429619454241815,13.842821002550787
51,126,-6,-3.98335702656689,13.672603847945817
52,126,-5,-4.973789396578157,13.439813901392046
53,126,-4,-5.904930417130016,13.156599350447584
54,126,-3,-6.771408667433789,12.835356727822262
55,126,2,7.958620327741235,19.896550819353095
56,127,-7,-2.7193746541737007,13.798308430436933
57,127,-6,-3.690605626943877,13.665215429494904
58,127,-5,-4.623054142109897,13.475711009979918
59,127,-4,-5.50823606232477,13.239093693657788
60,127,-3,-6.340626689759545,12.965162037269518
61,128,-7,-2.5247183318777693,13.745688695778972
62,128,-6,-3.4340544930116366,13.643405688451645
63,128,-5,-4.313219895424451,13.490283502710522
64,128,-4,-5.154619149057838,13.293491489675484
65,128,-3,-5.952880206016198,13.060796869916137
66,129,-7,-2.3538167900448257,13.687008742112514
67,129,-6,-3.207595681806732,13.610608703882622
68,129,-5,-4.037912237292976,13.488345133085051
69,129,-4,-4.83802332529841,13.325783545120188
70,129,-3,-5.602865734818609,13.129103289052566
71,130,-7,-2.2026423082574005,13.62375057329578
72,130,-6,-3.006381041506122,13.569341457608719
73,130,-5,-3.7919384057659036,13.473483271551192
74,130,-4,-4.553352114723127,13.340522862434431
75,130,-3,-5.285937031440619,13.175395287322143
