lon,lat,block
119,-4,Makassar
119,-3,Makassar
120,-6,Makassar
120,-5,Makassar
120,-4,Makassar
120,-3,Makassar
120,-2,Makassar
120,0,North Sula
120,1,North Sula
121,-7,Makassar
121,-6,Makassar
121,-5,Makassar
121,-4,Makassar
121,-3,Makassar
121,-2,East Sula
121,-1,East Sula
121,0,North Sula
121,1,North Sula
122,-7,Makassar
122,-6,Makassar
122,-5,Makassar
122,-4,Makassar
122,-3,East Sula
122,-2,East Sula
122,-1,East Sula
122,0,North Sula
122,1,North Sula
123,-5,Makassar
123,-3,East Sula
123,-2,East Sula
123,-1,East Sula
123,0,North Sula
123,1,Manado
124,-7,Banda
124,-6,Banda
124,-5,Banda
124,-4,Banda
124,-3,Banda
124,-1,East Sula
124,0,Manado
124,1,Manado
124,2,Manado
125,-7,Banda
125,-6,Banda
125,-5,Banda
125,-4,Banda
125,-3,Banda
125,0,Manado
125,1,Manado
125,2,Manado
126,-7,Banda
126,-6,Banda
126,-5,Banda
126,-4,Banda
126,-3,Banda
126,2,Manado
127,-7,Banda
127,-6,Banda
127,-5,Banda
127,-4,Banda
127,-3,Banda
128,-7,Banda
128,-6,Banda
128,-5,Banda
128,-4,Banda
128,-3,Banda
129,-7,Banda
129,-6,Banda
129,-5,Banda
129,-4,Banda
129,-3,Banda
130,-7,Banda
130,-6,Banda
130,-5,Banda
130,-4,Banda
130,-3,Banda
