stasiun,nama,negara,lat,lon,x,y,z
BAKO,Cibinong-Java,Indonesia,-6.26,106.50,-1836968.9,6065617.1,-716257.7
KIT3,Kittab,Usbekistan,39.08,66.54,1944945.3,4556652.2,4004325.9
MALI,Malili-Sulawesi,Indonesia,-2.39,121.04,-3272601.5,5467084.7,-286838.1
TERN,Ternate-Halmahera,Indonesia,0.48,127.23,-3868393.5,5070337.2,95132.1
TIDB,Tidbinbilla,Australia,-35.24,148.59,-4460996.1,2682557,-3674443.7
TSKB,Tsukuba,Japan,36.06,140.05,-3957199.2,3310199.6,3737711.7
YAR1,Yarragadee,Australia,-29.03,115.20,-2389025.5,5043316.8,-3078530.7
COCO,Coco's.Islands,Australia,-12.07,96.50,-741949.9,6190961.6,-1337768.6
KARR,Karrahata,Australia,-20.51,117.06,-2713832.2,5303935.1,-2269515
MEDA,Medan-Sumatra,Indonesia,3.33,98.38,-956109.6,6293771.6,392808.7
BENG,Bengkulu-Sumatra,Indonesia,-3.47,102.15,-1350601.9,6219363.2,-418384.6
CAMP,Cam.Pha,Vietnam,21.01,105.52,-1772773.7,5687232.7,2271331.7
CHON,Chonburi,Thailand,13.43,100.27,-1190208.2,6097682.8,1438406.3
ILOI,Iloilo-Panay.Is.,Philippines,10.41,122.33,-3386223.9,5268056,1205569.7
KUAL,Kuala.Trengganu,Malaysia,5.20,103.07,-1443668.1,6184650.1,587309.9
NONN,Non.Nuoc,Vietnam,16.00,108.16,-1921866.2,5823665.7,1747139.6
PHUK,Phuket.Is.,Thailand,7.52,98.22,-912741.8,6253870.4,855385.4
PUER,Puerto.Princessa-Palawan.Is.,Philippines,9.46,117.45,-3030498.6,5500760.6,1109606.5
SURI,Surigao-Mindanao.Is.,Philippines,9.47,125.29,-3658606.9,5114995.4,1061800.8
TANJ,Tanjung.Bangka.Is.-Sumatra,Indonesia,-2.05,106.09,-1775928.4,6122391.8,-207918
TEDA,?.-Sumatra,Indonesia,0.34,97.49,-867764,6318529.8,63139.4
VIRA,Virac-Catanduanes.Is.,Philippines,13.35,124.14,-3497936.9,5120717.5,1486361.4
BRUN,Brunei,Brunei,4.56,114.58,-2688595.1,5757599,548475.2
AMPA,Ampana-Sulawesi,Indonesia,-1.00,121.26,-3326039.3,5441185,-111672.9
DAVA,Davao-Mindanao.Is.,Philippines,7.05,125.28,-3676550.5,5152785.3,781393.5
ENDE,Ende-Flores,Indonesia,-8.51,121.40,-3319739.7,5361348.7,-959263
LAOA,LaoAgo,Philippines,18.31,120.36,-3079723.5,5207370.7,2013092.7
TAWA,Tawau-Sabah,Malaysia,4.16,117.54,-2984278.9,5617684.1,469695.8
BALI,Denpasar-Bali,Indonesia,-8.40,115.14,-2636544.9,5737527.6,-897945.7
LIRA,Alor.Is.,Indonesia,-8.15,124.54,-3688888.9,5126324.1,-888258
MANA,Manado-Sulawesi,Indonesia,1.32,124.55,-3663237.6,5219288.5,147156.4
BIAK,Biak.Is.-Irian.Jaya,Indonesia,-0.53,135.57,-4606324.2,4409852.2,-129077.2
AMBO,Ambon-Ambon.Is.,Indonesia,-3.41,128.10,-3928641.9,5007338.9,-417153
BATU,Batu.bajau-Kalimantan,Indonesia,-3.52,114.47,-2668446.8,5777380.9,-427301.2
ZAMB,Zamboanga-Mindanao.Is.,Philippines,6.55,122.05,-3362109,5365326.2,769178.6
BUTU,Karang.Sambung-Java,Indonesia,-7.21,109.56,-2184031.1,5933410,-841894.7
TOMI,Tomini-Sulawesi,Indonesia,0.31,120.30,-3270722.3,5475837.2,50109.2
UJPD,UjungPandang-Sulawesi,Indonesia,-5.08,119.25,-3136018.2,5524660.6,-569129.4
TABA,Tanjung.Bajau-Kalimantan,Indonesia,-0.05,109.16,-2064804.7,6033942.5,95399.4
KAPA,Kupang-Timor,Indonesia,-10.13,123.38,-3541227.7,5195060.7,-1076055.6
WAME,Wamena-Irian.Jaya,Indonesia,-2.45,138.24,-4799568.4,4179254.6,-446690.8
TOAR,Toari-Sulawesi,Indonesia,-4.35,121.29,-3321028.2,5421664.5,-506109.7
SANA,Sanana-Sanana.Is.,Indonesia,-2.03,126.00,-3745827.2,5157390.5,-226456.9
TAIW,Taiwan,Taiwan,25.01,121.32,-3024781.9,4928936.8,2681234.4
KEND,Kendari-Sulawesi,Indonesia,-4.00,122.33,-3439875.3,5350712.2,-466957.6
REDO,Redo-Sulawesi,Indonesia,-3.32,120.22,-3218355.7,5492703.7,-391134.5
