Nama,ket,lon,lat
GCMT11,1982 Mw 7.4,125.99,-7.28
GCMT12,1984 Mw 7.4,122.38,-0.29
GCMT06,1986 Mw 7.5,126.89,3.08
GCMT17,1989 Mw 7.1,126.72,2.64
GCMT04,1990 Mw 7.6,123.35,1.31
# GCMT07,1991 Mw 7.5,123.23,1.04
Sulawesi Sea,1996 Mw 7.9,119.9,1
GCMT02,1996 Mw 7.8,123.02,-7.38
GCMT03,1998 Mw 7.7,125,-2.03
GCMT08,2000 Mw 7.5,123.59,-1.29
GCMT13,2001 Mw 7.4,124.11,-4.31
GCMT09,2004 Mw 7.5,125.12,-7.87
GCMT10,2007 Mw 7.5,126.21,1.19
GCMT14,2008 Mw 7.3,122.05,1.5
GCMT18,2009 Mw 7.1,126.81,3.92
Maluku,2014 Mw 7.1,126.971,2.479
GCMT19,2014 Mw 7.1,126.37,1.98
GCMT15,2017 Mw 7.3,122.78,4.57
Palu,2018 Mw 7.5,119.846,0.256
GCMT20,2019 Mw 7.1,126.32,1.66
GCMT16,2021 Mw 7.3,121.97,-7.46
